Date,Ping,Download-Speed,Upload-Speed
Wed Feb  1 20:45:01  2017,x,x,x
Wed Feb  1 21:00:01  2017,x,x,x
Wed Feb  1 21:15:01  2017,x,x,x
Wed Feb  1 21:30:01  2017,x,x,x
Wed Feb  1 21:45:01  2017,x,x,x
Wed Feb  1 22:00:01  2017,110.423,0.13 ,0.00 
Wed Feb  1 22:15:01  2017,x,x,x
Wed Feb  1 22:30:01  2017,x,x,x
Wed Feb  1 22:45:01  2017,x,x,x
Wed Feb  1 23:00:01  2017,x,x,x
Wed Feb  1 23:15:01  2017,x,x,x
Wed Feb  1 23:30:01  2017,48.047 ,0.55 ,0.00 
Wed Feb  1 23:45:01  2017,51.005,2.30 ,0.00 
Thu Feb  2 00:00:01  2017,x,x,x
Thu Feb  2 00:15:01  2017,x,x,x
Thu Feb  2 00:30:01  2017,53.924,1.28 ,0.00 
Thu Feb  2 00:45:01  2017, 59.134, 0.28 ,0.09 
Thu Feb  2 01:00:01  2017,39.658 ,0.74 ,0.06 
Thu Feb  2 01:15:01  2017,x,x,x
Thu Feb  2 01:30:01  2017,x,x,x
Thu Feb  2 01:45:01  2017,52.891 ,0.94, 0.05 
Thu Feb  2 02:00:01  2017,x,x,x
Thu Feb  2 02:15:01  2017,x,x,x
Thu Feb  2 02:30:01  2017,x,x,x
Thu Feb  2 02:45:01  2017,x,x,x
Thu Feb  2 03:00:01  2017,65.228 ,0.11 ,0.00 
Thu Feb  2 03:15:02  2017,x,x,x
Thu Feb  2 03:30:01  2017,x,x,x
Thu Feb  2 03:45:01  2017,x,x,x
Thu Feb  2 04:00:01  2017,x,x,x
Thu Feb  2 04:15:01  2017,31.615 ,0.86 ,0.16 
Thu Feb  2 04:30:01  2017,x,x,x
Thu Feb  2 04:45:01  2017,x,x,x
Thu Feb  2 05:00:02  2017,x,x,x
Thu Feb  2 05:15:01  2017,x,x,x
Thu Feb  2 05:30:01  2017,x,x,x
Thu Feb  2 05:45:01  2017,x,x,x
Thu Feb  2 06:00:01  2017,x,x,x
Thu Feb  2 06:15:01  2017,36.29,0.20 ,0.00 
Thu Feb  2 06:30:01  2017,x,x,x
Thu Feb  2 06:45:01  2017,x,x,x
Thu Feb  2 07:00:01  2017,45.934,0.61 ,0.00 
Thu Feb  2 07:15:01  2017,x,x,x
Thu Feb  2 07:30:01  2017,39.895,0.15 ,0.03 
Thu Feb  2 07:45:01  2017,x,x,x
Thu Feb  2 08:00:01  2017,x,x,x
Thu Feb  2 08:15:01  2017,48.121,0.82 ,0.00 
Thu Feb  2 08:30:01  2017,x,x,x
Thu Feb  2 08:45:01  2017,x,x,x
Thu Feb  2 09:00:01  2017,x,x,x
Thu Feb  2 09:15:01  2017,39.522,0.17 ,0.00 
Thu Feb  2 09:30:01  2017,x,x,x
Thu Feb  2 09:45:01  2017,x,x,x
Thu Feb  2 10:00:01  2017,x,x,x
Thu Feb  2 10:15:01  2017,x,x,x
Thu Feb  2 10:30:01  2017,x,x,x
