Time of day, ping, download, upload
Isn Nov  7 02:00:01, 0,0,0;
Isn Nov  7 02:15:01,43.044 ,14.37 ,8.40;
Isn Nov  7 02:30:01 ,38.103 ,15.79 ,9.70;
Isn Nov  7 02:45:01 ,39.186 ,17.29 ,15.68;
Isn Nov  7 03:00:01 ,40.868 ,11.27 ,13.06;
Isn Nov  7 03:15:01 ,44.756 ,13.77 ,4.78;
Isn Nov  7 03:30:01 ,36.878 ,16.54 ,10.40;
Isn Nov  7 03:45:01 ,39.711 ,15.62 ,10.86;
Isn Nov  7 04:00:01 ,41.172 ,11.00 ,14.93;
Isn Nov  7 04:15:01 ,38.375 ,15.37 ,8.93;
Isn Nov  7 04:30:01 ,40.577 ,15.22 ,15.75;
Isn Nov  7 04:45:01 ,34.781 ,15.29 ,13.49;
Isn Nov  7 05:00:01 ,32.419 ,16.20 ,8.73;
Isn Nov  7 05:15:01, 31.829 ,16.44 ,8.58;
Isn Nov  7 05:30:01 ,37.763 ,18.10 ,10.24;
Isn Nov  7 05:45:01 ,32.085 ,18.30 ,15.13;
Isn Nov  7 06:00:01 ,36.766 ,16.20 ,15.09;
Isn Nov  7 06:15:01 ,44.178 ,17.69 ,8.74;
Isn Nov  7 06:30:01 ,51.299 ,10.00 ,13.61;
Isn Nov  7 06:45:01 ,52.442 ,11.79 ,5.48;
Isn Nov  7 07:00:02 ,48.54 ,11.17 ,8.14;
Isn Nov  7 07:15:01 ,54.057 ,12.70 ,6.01;
Isn Nov  7 07:30:01 ,63.042 ,12.61 ,3.84;
Isn Nov  7 07:45:01 ,46.788 ,12.30 ,3.33;
Isn Nov  7 08:00:01, 0,0,0;
Isn Nov  7 08:15:01, 0,0,0;
Isn Nov  7 08:30:01, 0,0,0;
Isn Nov  7 08:45:01, 0,0,0;
Isn Nov  7 09:00:01, 0,0,0;
Isn Nov  7 09:15:01, 0,0,0;
Isn Nov  7 09:30:01, 0,0,0;
Isn Nov  7 09:45:01, 0,0,0;
Isn Nov  7 10:00:01, 0,0,0;
Isn Nov  7 10:15:01, 0,0,0;
Isn Nov  7 10:30:01, 0,0,0;
Isn Nov  7 10:45:01, 0,0,0;
Isn Nov  7 11:00:01, 0,0,0;
Isn Nov  7 11:15:01, 0,0,0;
Isn Nov  7 11:30:01, 0,0,0;
Isn Nov  7 11:45:01, 0,0,0;
Isn Nov  7 12:00:01, 0,0,0;
Isn Nov  7 12:15:01, 0,0,0;
Isn Nov  7 12:30:01, 0,0,0;
Isn Nov  7 12:45:01, 0,0,0;
Isn Nov  7 13:00:01, 0,0,0;
Isn Nov  7 13:15:01, 0,0,0;
Isn Nov  7 13:30:01, 0,0,0;
Isn Nov  7 13:45:01, 0,0,0;
Isn Nov  7 14:00:01, 0,0,0;
Isn Nov  7 14:15:01, 0,0,0;
Isn Nov  7 14:30:01, 0,0,0;
Isn Nov  7 14:45:01, 0,0,0;
Isn Nov  7 15:00:01, 0,0,0;
Isn Nov  7 15:15:01, 0,0,0;
Isn Nov  7 15:30:01, 0,0,0;
Isn Nov  7 15:45:01, 0,0,0;
Isn Nov  7 16:00:01, 0,0,0;
Isn Nov  7 16:15:01, 0,0,0;
Isn Nov  7 16:30:01, 0,0,0;
Isn Nov  7 16:45:01, 0,0,0;
Isn Nov  7 17:00:01, 0,0,0;
Isn Nov  7 17:15:01, 0,0,0;
Isn Nov  7 17:30:01, 0,0,0;
Isn Nov  7 17:45:01, 0,0,0;
Isn Nov  7 18:00:01, 0,0,0;
Isn Nov  7 18:15:01, 0,0,0;
Isn Nov  7 18:30:01, 0,0,0;
Isn Nov  7 18:45:01, 0,0,0;
Isn Nov  7 19:00:01, 0,0,0;
Isn Nov  7 19:15:01, 0,0,0;
Isn Nov  7 19:30:01, 0,0,0;
Isn Nov  7 19:45:01, 0,0,0;
Isn Nov  7 20:00:01, 0,0,0;
Isn Nov  7 20:15:01, 0,0,0;
Isn Nov  7 20:30:01, 0,0,0;
Isn Nov  7 20:45:01, 0,0,0;
Isn Nov  7 21:00:01, 0,0,0;
Isn Nov  7 21:15:01, 0,0,0;
Isn Nov  7 21:30:01, 0,0,0;
Isn Nov  7 21:45:01, 0,0,0;
Isn Nov  7 22:00:01, 0,0,0;
Isn Nov  7 22:15:01, 0,0,0;
Isn Nov  7 22:30:01, 0,0,0;
