Wed Nov  2 07:00:01  2016,39.527 ,16.25 ,17.25 
Wed Nov  2 07:05:01  2016,40.985 ,15.60 ,16.58 
Wed Nov  2 07:10:01  2016,38.619, 16.87 ,15.68 
Wed Nov  2 07:15:01  2016,39.611 ,16.51 ,17.25 
Wed Nov  2 07:20:01  2016,40.211 ,15.30 ,16.45 
Wed Nov  2 07:25:01  2016,38.956 ,16.61 ,15.50 
Wed Nov  2 07:30:01  2016,50.986 ,14.13 ,17.34 
Wed Nov  2 07:35:01  2016,41.015 ,15.83 ,16.95 
Wed Nov  2 07:40:01  2016,47.103 ,16.06 ,16.39 
Wed Nov  2 07:45:01  2016,48.891 ,15.11 ,16.40 
Wed Nov  2 07:50:01  2016,42.04 ,15.29 ,16.95 
Wed Nov  2 07:55:01  2016,47.416 ,16.56 ,17.61 
Wed Nov  2 08:00:01  2016,x,x,x
Wed Nov  2 08:05:02  2016,x,x,x
Wed Nov  2 08:10:01  2016,x,x,x
Wed Nov  2 08:15:01  2016,x,x,x
Wed Nov  2 08:20:01  2016,x,x,x
Wed Nov  2 08:25:01  2016,x,x,x
Wed Nov  2 08:30:01  2016,x,x,x
Wed Nov  2 08:35:01  2016,x,x,x
Wed Nov  2 08:40:01  2016,x,x,x
Wed Nov  2 08:45:01  2016,x,x,x
Wed Nov  2 08:50:01  2016,x,x,x
Wed Nov  2 08:55:01  2016,x,x,x
Wed Nov  2 09:00:01  2016,x,x,x
Wed Nov  2 09:05:01  2016,x,x,x
Wed Nov  2 09:10:01  2016,x,x,x
Wed Nov  2 09:15:01  2016,x,x,x
Wed Nov  2 09:20:01  2016,x,x,x
Wed Nov  2 09:25:01  2016,x,x,x
Wed Nov  2 09:30:01  2016,x,x,x
Wed Nov  2 09:35:01  2016,x,x,x
Wed Nov  2 09:40:01  2016,x,x,x
Wed Nov  2 09:45:01  2016,x,x,x
Wed Nov  2 09:50:01  2016,x,x,x
Wed Nov  2 09:55:01  2016,x,x,x
Wed Nov  2 10:00:01  2016,x,x,x
Wed Nov  2 10:05:01  2016,x,x,x
Wed Nov  2 10:10:01  2016,x,x,x
Wed Nov  2 10:15:01  2016,x,x,x
Wed Nov  2 10:20:01  2016,x,x,x
Wed Nov  2 10:25:01  2016,x,x,x
Wed Nov  2 10:30:01  2016,x,x,x
Wed Nov  2 10:35:01  2016,x,x,x
Wed Nov  2 10:40:01  2016,x,x,x
Wed Nov  2 10:45:01  2016,x,x,x
Wed Nov  2 10:50:01  2016,x,x,x
Wed Nov  2 10:55:01  2016,x,x,x
Wed Nov  2 11:00:01  2016,x,x,x
Wed Nov  2 11:05:01  2016,x,x,x
